severity,code,sheet,row,project,client,field,message,amount
warn,PLACEHOLDER_DATE,Uchet_sdelok,45,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,46,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,47,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,48,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,64,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,65,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,84,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,85,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,104,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,105,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,124,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,125,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,143,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,144,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,164,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,Uchet_sdelok,165,ЖК Астрид,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,PLACEHOLDER_DATE,bez_ryb_NK,22,ЖК Космонавтов 11,,Срок подписание акта по п 4.6,Placeholder: 9.1.1900,
warn,PLACEHOLDER_DATE,bez_ryb_NK,23,ЖК Исеть Парк,,Срок подписание акта по п 4.6,Placeholder: 9.1.1900,
warn,PLACEHOLDER_DATE,bez_ryb_NK,24,ЖК Утес,,Срок подписание акта по п 4.6,Placeholder: 9.1.1900,
warn,PLACEHOLDER_DATE,bez_ryb_NK,42,ЖК Космонавтов 11,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,57,ЖК Курортный,,,Дебиторка без даты плана поступления,69571.8
warn,PLACEHOLDER_DATE,bez_ryb_NK,57,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,59,ЖК Курортный,,,Дебиторка без даты плана поступления,44374.73
warn,PLACEHOLDER_DATE,bez_ryb_NK,59,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,65,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,1791676.56
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,66,ЖК Исеть Парк,,,Дебиторка без даты плана поступления,903397.19
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,67,ЖК Утес,,,Дебиторка без даты плана поступления,262988.48
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,68,ЖК Нокса Парк,,,Дебиторка без даты плана поступления,480526.6
warn,PLACEHOLDER_DATE,bez_ryb_NK,68,ЖК Нокса Парк,,Срок подписание акта по п 4.6,Placeholder: 9.1.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,69,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1560971.98
warn,PLACEHOLDER_DATE,bez_ryb_NK,69,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,70,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1412096.11
warn,PLACEHOLDER_DATE,bez_ryb_NK,70,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,71,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1176625.45
warn,PLACEHOLDER_DATE,bez_ryb_NK,71,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,72,ЖК Новое К,,,Дебиторка без даты плана поступления,677663.74
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,73,ЖК Новое К,,,Дебиторка без даты плана поступления,857075.74
warn,PLACEHOLDER_DATE,bez_ryb_NK,73,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,74,ЖК Новое К,,,Дебиторка без даты плана поступления,582952.74
warn,PLACEHOLDER_DATE,bez_ryb_NK,74,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,75,ЖК Новое К,,,Дебиторка без даты плана поступления,335188.08
warn,PLACEHOLDER_DATE,bez_ryb_NK,75,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,76,ЖК Новое К,,,Дебиторка без даты плана поступления,346086.21
warn,PLACEHOLDER_DATE,bez_ryb_NK,76,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,77,ЖК Астрид,,,Дебиторка без даты плана поступления,425589.99
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,78,ЖК Астрид,,,Дебиторка без даты плана поступления,386661.24
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,79,ЖК Курортный,,,Дебиторка без даты плана поступления,575041.2
warn,PLACEHOLDER_DATE,bez_ryb_NK,79,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,80,ЖК Курортный,,,Дебиторка без даты плана поступления,405467.25
warn,PLACEHOLDER_DATE,bez_ryb_NK,80,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,81,ЖК Курортный,,,Дебиторка без даты плана поступления,822304.85
warn,PLACEHOLDER_DATE,bez_ryb_NK,81,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,82,ЖК Курортный,,,Дебиторка без даты плана поступления,932969.73
warn,PLACEHOLDER_DATE,bez_ryb_NK,82,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,83,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,1791676.56
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,84,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,322031.72
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,85,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,267263.32
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,86,ЖК Исеть Парк,,,Дебиторка без даты плана поступления,903397.19
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,87,ЖК Утес,,,Дебиторка без даты плана поступления,262988.48
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,88,ЖК Нокса Парк,,,Дебиторка без даты плана поступления,595852.98
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,89,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1560971.98
