"","Статья ДДС","ИТОГО, реализация за минуоом штрафа","Дата планового поступления ДС","месяц планвого поступления  ДС"
"","Поступление Клининг (ОД)","218 229,04","14.09.2026","9"
"","Поступление Клининг (ОД)","529 606,70","14.09.2026","9"
"","Поступление Клининг (ОД)","1 599 464,23","30.08.2026","8"
"","Поступление Клининг (ОД)","897 679,06","14.09.2026","9"
"","Поступление Клининг (ОД)","373 920,60","14.09.2026","9"
"","Поступление Клининг (ОД)","175 000,00","14.09.2026","9"
"","Поступление Клининг (ОД)","671 360,00","14.09.2026","9"
"","Поступление Клининг (ОД)","677 663,74","18.09.2026","9"
"","Поступление Клининг (ОД)","713 043,88","18.09.2026","9"
"","Поступление Клининг (ОД)","459 100,14","18.09.2026","9"
"","Поступление Клининг (ОД)","335 188,08","18.09.2026","9"
"","Поступление Клининг (ОД)","287 048,06","18.09.2026","9"
"","Поступление Клининг (ОД)","425 589,99","18.09.2026","9"
"","Поступление Клининг (ОД)","228 370,58","18.09.2026","9"
"","Поступление Клининг (ОД)","412 706,09","18.08.2026","8"
"","Поступление Клининг (ОД)","407 255,33","18.08.2026","8"
"","Поступление Клининг (ОД)","461 430,77","18.08.2026","8"
"","Поступление Клининг (ДУ)","578 745,61","18.08.2026","8"
"","Поступление Клининг (ОД)","1 732 090,24","15.10.2026","10"
"","Поступление Клининг (ОД)","749 636,00","15.10.2026","10"
"","Поступление Клининг (ОД)","218 229,04","15.10.2026","10"
"","Поступление Клининг (ОД)","529 606,70","15.10.2026","10"
"","Поступление Клининг (ОД)","1 599 464,23","30.09.2026","9"
"","Поступление Клининг (ОД)","897 679,06","15.10.2026","10"
"","Поступление Клининг (ОД)","373 920,60","15.10.2026","10"
"","Поступление Клининг (ОД)","175 000,00","15.10.2026","10"
"","Поступление Клининг (ОД)","671 360,00","15.10.2026","10"
"","Поступление Клининг (ОД)","677 663,74","19.10.2026","10"
"","Поступление Клининг (ОД)","713 043,88","19.10.2026","10"
"","Поступление Клининг (ОД)","459 100,14","19.10.2026","10"
"","Поступление Клининг (ОД)","335 188,08","19.10.2026","10"
"","Поступление Клининг (ОД)","287 048,06","19.10.2026","10"
"","Поступление Клининг (ОД)","425 589,99","19.10.2026","10"
"","Поступление Клининг (ОД)","228 370,58","19.10.2026","10"
"","Поступление Клининг (ДУ)","299 825,59","18.08.2026","8"
"","Поступление Клининг (ОД)","412 706,09","18.09.2026","9"
"","Поступление Клининг (ОД)","407 255,33","18.09.2026","9"
"","Поступление Клининг (ОД)","461 430,77","18.09.2026","9"
"","Поступление Клининг (ОД)","1 732 090,24","14.11.2026","11"
"","Поступление Клининг (ОД)","749 636,00","14.11.2026","11"
"","Поступление Клининг (ОД)","218 229,04","14.11.2026","11"
"","Поступление Клининг (ОД)","529 606,70","14.11.2026","11"
"","Поступление Клининг (ОД)","1 599 464,23","30.10.2026","10"
"","Поступление Клининг (ОД)","897 679,06","14.11.2026","11"
"","Поступление Клининг (ОД)","373 920,60","14.11.2026","11"
"","Поступление Клининг (ОД)","175 000,00","14.11.2026","11"
"","Поступление Клининг (ОД)","671 360,00","14.11.2026","11"
"","Поступление Клининг (ОД)","677 663,74","18.11.2026","11"
"","Поступление Клининг (ОД)","713 043,88","18.11.2026","11"
"","Поступление Клининг (ОД)","459 100,14","18.11.2026","11"
"","Поступление Клининг (ОД)","335 188,08","18.11.2026","11"
"","Поступление Клининг (ОД)","287 048,06","18.11.2026","11"
"","Поступление Клининг (ОД)","425 589,99","18.11.2026","11"
"","Поступление Клининг (ОД)","228 370,58","18.11.2026","11"
"","Поступление Клининг (ДУ)","578 745,61","18.09.2026","9"
"","Поступление Клининг (ДУ)","299 825,59","18.09.2026","9"
"","Поступление Клининг (ОД)","412 706,09","19.10.2026","10"
"","Поступление Клининг (ОД)","1 732 090,24","15.12.2026","12"
"","Поступление Клининг (ОД)","749 636,00","15.12.2026","12"
"","Поступление Клининг (ОД)","218 229,04","15.12.2026","12"
"","Поступление Клининг (ОД)","529 606,70","15.12.2026","12"
"","Поступление Клининг (ОД)","1 599 464,23","30.11.2026","11"
"","Поступление Клининг (ОД)","897 679,06","15.12.2026","12"
"","Поступление Клининг (ОД)","373 920,60","15.12.2026","12"
"","Поступление Клининг (ОД)","175 000,00","15.12.2026","12"
"","Поступление Клининг (ОД)","671 360,00","15.12.2026","12"
"","Поступление Клининг (ОД)","677 663,74","19.12.2026","12"
"","Поступление Клининг (ОД)","857 075,74","19.12.2026","12"
"","Поступление Клининг (ОД)","582 952,74","19.12.2026","12"
"","Поступление Клининг (ОД)","335 188,08","19.12.2026","12"
"","Поступление Клининг (ОД)","346 086,21","19.12.2026","12"
"","Поступление Клининг (ОД)","425 589,99","19.12.2026","12"
"","Поступление Клининг (ОД)","386 661,24","19.12.2026","12"
"","Поступление Клининг (ОД)","407 255,33","19.10.2026","10"
"","Поступление Клининг (ОД)","461 430,77","19.10.2026","10"
"","Поступление Клининг (ДУ)","578 745,61","19.10.2026","10"
"","Поступление Клининг (ДУ)","299 825,59","19.10.2026","10"
"","Поступление Клининг (ОД)","412 706,09","19.11.2026","11"
"","Поступление Клининг (ОД)","2 090 893,11","14.01.2027","1"
"","Поступление Клининг (ОД)","903 397,19","14.01.2027","1"
"","Поступление Клининг (ОД)","262 988,48","14.01.2027","1"
"","Поступление Клининг (ОД)","595 870,35","14.01.2027","1"
"","Поступление Клининг (ОД)","1 599 464,23","30.12.2026","12"
"","Поступление Клининг (ОД)","897 679,06","14.01.2027","1"
"","Поступление Клининг (ОД)","373 920,60","30.12.2026","12"
"","Поступление Клининг (ОД)","175 000,00","30.12.2026","12"
"","Поступление Клининг (ОД)","703 000,00","30.12.2026","12"
"","Поступление Клининг (ОД)","677 663,74","18.01.2027","1"
"","Поступление Клининг (ОД)","857 075,74","18.01.2027","1"
"","Поступление Клининг (ОД)","582 952,74","18.01.2027","1"
"","Поступление Клининг (ОД)","335 188,08","18.01.2027","1"
"","Поступление Клининг (ОД)","346 086,21","18.01.2027","1"
"","Поступление Клининг (ОД)","425 589,99","18.01.2027","1"
